______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 1.71 | Accuracy: 0.34
[Training] Itteration/Batch: 1975/2175: Loss: 0.77 | Accuracy: 0.96
[Training] Itteration/Batch: 2000/2175: Loss: 1.04 | Accuracy: 0.88
[Training] Itteration/Batch: 2025/2175: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 2050/2175: Loss: 2.10 | Accuracy: 0.98
[Training] Itteration/Batch: 2075/2175: Loss: 0.65 | Accuracy: 0.89
[Training] Itteration/Batch: 2100/2175: Loss: 0.57 | Accuracy: 0.95
[Training] Itteration/Batch: 2125/2175: Loss: 0.95 | Accuracy: 0.94
[Training] Itteration/Batch: 2150/2175: Loss: 1.38 | Accuracy: 0.93

Epoch 3: Val Bin. F1 Majority 0.42133334279060364 | Val Macro F1 Majority 0.7009929862101759 |             Val Bin F1 Individual 0.3919944763183594 | Val Macro F1 Individual 0.6843956697739018 |             Val Accuracy Majority 0.9625571370124817 | Val Accuracy Individual 0.9552996158599854 | Training Loss:0.9034309983253479 |             Val Loss 1.0721200704574585 | Train Runtime Millis 242429.05244299618 | Val Runtime Millis 45066.16151799972

______________________________	 Running Epoch 4 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 1.21 | Accuracy: 0.95
[Training] Itteration/Batch:  25/2175: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch:  50/2175: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2175: Loss: 0.56 | Accuracy: 0.96
[Training] Itteration/Batch: 100/2175: Loss: 0.48 | Accuracy: 0.98
[Training] Itteration/Batch: 125/2175: Loss: 0.43 | Accuracy: 0.98
[Training] Itteration/Batch: 150/2175: Loss: 0.91 | Accuracy: 0.96
[Training] Itteration/Batch: 175/2175: Loss: 0.68 | Accuracy: 0.96
[Training] Itteration/Batch: 200/2175: Loss: 0.38 | Accuracy: 1.00
[Training] Itteration/Batch: 225/2175: Loss: 1.49 | Accuracy: 0.85
[Training] Itteration/Batch: 250/2175: Loss: 0.45 | Accuracy: 0.97
[Training] Itteration/Batch: 275/2175: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 300/2175: Loss: 1.31 | Accuracy: 0.95
[Training] Itteration/Batch: 325/2175: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 350/2175: Loss: 0.41 | Accuracy: 0.93
[Training] Itteration/Batch: 375/2175: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 400/2175: Loss: 2.16 | Accuracy: 0.95
[Training] Itteration/Batch: 425/2175: Loss: 0.43 | Accuracy: 0.97
[Training] Itteration/Batch: 450/2175: Loss: 0.44 | Accuracy: 0.96
[Training] Itteration/Batch: 475/2175: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 500/2175: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 525/2175: Loss: 0.44 | Accuracy: 0.96
[Training] Itteration/Batch: 550/2175: Loss: 0.49 | Accuracy: 0.98
[Training] Itteration/Batch: 575/2175: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 600/2175: Loss: 3.89 | Accuracy: 0.93
[Training] Itteration/Batch: 625/2175: Loss: 0.62 | Accuracy: 0.91
[Training] Itteration/Batch: 650/2175: Loss: 1.56 | Accuracy: 0.92
[Training] Itteration/Batch: 675/2175: Loss: 1.12 | Accuracy: 0.95
[Training] Itteration/Batch: 700/2175: Loss: 1.94 | Accuracy: 0.88
[Training] Itteration/Batch: 725/2175: Loss: 1.96 | Accuracy: 0.91
[Training] Itteration/Batch: 750/2175: Loss: 0.68 | Accuracy: 0.90
[Training] Itteration/Batch: 775/2175: Loss: 0.61 | Accuracy: 0.98
[Training] Itteration/Batch: 800/2175: Loss: 2.44 | Accuracy: 0.98
[Training] Itteration/Batch: 825/2175: Loss: 0.49 | Accuracy: 0.98
[Training] Itteration/Batch: 850/2175: Loss: 0.71 | Accuracy: 0.94
[Training] Itteration/Batch: 875/2175: Loss: 0.83 | Accuracy: 0.90
[Training] Itteration/Batch: 900/2175: Loss: 0.36 | Accuracy: 1.00
[Training] Itteration/Batch: 925/2175: Loss: 0.74 | Accuracy: 0.96
[Training] Itteration/Batch: 950/2175: Loss: 0.63 | Accuracy: 0.92
[Training] Itteration/Batch: 975/2175: Loss: 1.68 | Accuracy: 0.89
[Training] Itteration/Batch: 1000/2175: Loss: 1.33 | Accuracy: 0.95
[Training] Itteration/Batch: 1025/2175: Loss: 0.38 | Accuracy: 0.94
[Training] Itteration/Batch: 1050/2175: Loss: 1.12 | Accuracy: 0.91
[Training] Itteration/Batch: 1075/2175: Loss: 4.70 | Accuracy: 0.80
[Training] Itteration/Batch: 1100/2175: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 1125/2175: Loss: 0.78 | Accuracy: 0.95
[Training] Itteration/Batch: 1150/2175: Loss: 0.35 | Accuracy: 0.94
[Training] Itteration/Batch: 1175/2175: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 1200/2175: Loss: 0.49 | Accuracy: 0.93
[Training] Itteration/Batch: 1225/2175: Loss: 0.50 | Accuracy: 0.95
[Training] Itteration/Batch: 1250/2175: Loss: 1.10 | Accuracy: 0.96
[Training] Itteration/Batch: 1275/2175: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 1300/2175: Loss: 2.60 | Accuracy: 0.96
[Training] Itteration/Batch: 1325/2175: Loss: 1.94 | Accuracy: 0.96
[Training] Itteration/Batch: 1350/2175: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 1375/2175: Loss: 1.82 | Accuracy: 0.97
[Training] Itteration/Batch: 1400/2175: Loss: 0.51 | Accuracy: 0.92
[Training] Itteration/Batch: 1425/2175: Loss: 1.69 | Accuracy: 0.89
[Training] Itteration/Batch: 1450/2175: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 1475/2175: Loss: 0.86 | Accuracy: 0.98
[Training] Itteration/Batch: 1500/2175: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 1525/2175: Loss: 0.50 | Accuracy: 0.91
[Training] Itteration/Batch: 1550/2175: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 1575/2175: Loss: 0.98 | Accuracy: 0.91
[Training] Itteration/Batch: 1600/2175: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 1625/2175: Loss: 0.42 | Accuracy: 0.94
[Training] Itteration/Batch: 1650/2175: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 1675/2175: Loss: 1.64 | Accuracy: 0.93
[Training] Itteration/Batch: 1700/2175: Loss: 1.54 | Accuracy: 0.94
[Training] Itteration/Batch: 1725/2175: Loss: 2.65 | Accuracy: 0.98
[Training] Itteration/Batch: 1750/2175: Loss: 0.40 | Accuracy: 0.95
[Training] Itteration/Batch: 1775/2175: Loss: 0.30 | Accuracy: 0.96
[Training] Itteration/Batch: 1800/2175: Loss: 0.50 | Accuracy: 0.95
[Training] Itteration/Batch: 1825/2175: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 1850/2175: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 1875/2175: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 1900/2175: Loss: 0.54 | Accuracy: 0.98
[Training] Itteration/Batch: 1925/2175: Loss: 1.43 | Accuracy: 0.92
[Training] Itteration/Batch: 1950/2175: Loss: 0.50 | Accuracy: 0.95
[Training] Itteration/Batch: 1975/2175: Loss: 0.76 | Accuracy: 0.98
[Training] Itteration/Batch: 2000/2175: Loss: 0.54 | Accuracy: 0.93
[Training] Itteration/Batch: 2025/2175: Loss: 0.53 | Accuracy: 0.98
[Training] Itteration/Batch: 2050/2175: Loss: 0.56 | Accuracy: 0.96
[Training] Itteration/Batch: 2075/2175: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 2100/2175: Loss: 1.84 | Accuracy: 0.96
[Training] Itteration/Batch: 2125/2175: Loss: 1.61 | Accuracy: 0.98
[Training] Itteration/Batch: 2150/2175: Loss: 0.47 | Accuracy: 0.98

Epoch 4: Val Bin. F1 Majority 0.4429160952568054 | Val Macro F1 Majority 0.7124400106953935 |             Val Bin F1 Individual 0.4124232530593872 | Val Macro F1 Individual 0.6955171094414907 |             Val Accuracy Majority 0.9650591015815735 | Val Accuracy Individual 0.9587244391441345 | Training Loss:0.788815975189209 |             Val Loss 1.1121798753738403 | Train Runtime Millis 242782.68869800377 | Val Runtime Millis 44882.63706500584

______________________________	 Running Epoch 5 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch:  25/2175: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch:  50/2175: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2175: Loss: 0.48 | Accuracy: 0.90
[Training] Itteration/Batch: 100/2175: Loss: 0.60 | Accuracy: 0.95
[Training] Itteration/Batch: 125/2175: Loss: 0.55 | Accuracy: 0.96
[Training] Itteration/Batch: 150/2175: Loss: 0.70 | Accuracy: 0.93
[Training] Itteration/Batch: 175/2175: Loss: 0.71 | Accuracy: 0.98
[Training] Itteration/Batch: 200/2175: Loss: 1.53 | Accuracy: 0.98
[Training] Itteration/Batch: 225/2175: Loss: 0.39 | Accuracy: 0.98
[Training] Itteration/Batch: 250/2175: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 275/2175: Loss: 1.16 | Accuracy: 0.86
[Training] Itteration/Batch: 300/2175: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 325/2175: Loss: 0.87 | Accuracy: 0.85
[Training] Itteration/Batch: 350/2175: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 375/2175: Loss: 0.94 | Accuracy: 0.98
[Training] Itteration/Batch: 400/2175: Loss: 0.74 | Accuracy: 0.92
[Training] Itteration/Batch: 425/2175: Loss: 0.49 | Accuracy: 0.95
[Training] Itteration/Batch: 450/2175: Loss: 0.73 | Accuracy: 0.98
[Training] Itteration/Batch: 475/2175: Loss: 0.45 | Accuracy: 0.98
[Training] Itteration/Batch: 500/2175: Loss: 1.29 | Accuracy: 0.89
[Training] Itteration/Batch: 525/2175: Loss: 1.75 | Accuracy: 0.88
[Training] Itteration/Batch: 550/2175: Loss: 0.33 | Accuracy: 0.98
[Training] Itteration/Batch: 575/2175: Loss: 0.34 | Accuracy: 1.00
[Training] Itteration/Batch: 600/2175: Loss: 0.42 | Accuracy: 0.98
[Training] Itteration/Batch: 625/2175: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 650/2175: Loss: 0.73 | Accuracy: 0.93
[Training] Itteration/Batch: 675/2175: Loss: 2.28 | Accuracy: 0.91
[Training] Itteration/Batch: 700/2175: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch: 725/2175: Loss: 0.77 | Accuracy: 0.94
[Training] Itteration/Batch: 750/2175: Loss: 0.50 | Accuracy: 0.98
[Training] Itteration/Batch: 775/2175: Loss: 1.92 | Accuracy: 0.98
[Training] Itteration/Batch: 800/2175: Loss: 0.63 | Accuracy: 0.91
[Training] Itteration/Batch: 825/2175: Loss: 0.42 | Accuracy: 0.98
[Training] Itteration/Batch: 850/2175: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 875/2175: Loss: 0.46 | Accuracy: 0.95
[Training] Itteration/Batch: 900/2175: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 925/2175: Loss: 0.38 | Accuracy: 0.98
[Training] Itteration/Batch: 950/2175: Loss: 0.63 | Accuracy: 0.94
[Training] Itteration/Batch: 975/2175: Loss: 1.20 | Accuracy: 0.94
[Training] Itteration/Batch: 1000/2175: Loss: 0.39 | Accuracy: 0.98
[Training] Itteration/Batch: 1025/2175: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 1050/2175: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/2175: Loss: 0.84 | Accuracy: 0.98
[Training] Itteration/Batch: 1100/2175: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 1125/2175: Loss: 0.38 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/2175: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 1175/2175: Loss: 0.74 | Accuracy: 0.92
[Training] Itteration/Batch: 1200/2175: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 1225/2175: Loss: 0.80 | Accuracy: 0.93
[Training] Itteration/Batch: 1250/2175: Loss: 0.38 | Accuracy: 0.95
[Training] Itteration/Batch: 1275/2175: Loss: 0.67 | Accuracy: 0.95
[Training] Itteration/Batch: 1300/2175: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 1325/2175: Loss: 1.86 | Accuracy: 0.96
[Training] Itteration/Batch: 1350/2175: Loss: 0.50 | Accuracy: 0.98
[Training] Itteration/Batch: 1375/2175: Loss: 0.56 | Accuracy: 0.96
[Training] Itteration/Batch: 1400/2175: Loss: 0.44 | Accuracy: 0.98
[Training] Itteration/Batch: 1425/2175: Loss: 0.27 | Accuracy: 0.96
[Training] Itteration/Batch: 1450/2175: Loss: 1.20 | Accuracy: 0.98
[Training] Itteration/Batch: 1475/2175: Loss: 0.33 | Accuracy: 1.00
[Training] Itteration/Batch: 1500/2175: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1525/2175: Loss: 1.68 | Accuracy: 0.84
[Training] Itteration/Batch: 1550/2175: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 1575/2175: Loss: 0.33 | Accuracy: 0.98
[Training] Itteration/Batch: 1600/2175: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 1625/2175: Loss: 0.60 | Accuracy: 0.89
[Training] Itteration/Batch: 1650/2175: Loss: 0.35 | Accuracy: 0.98
[Training] Itteration/Batch: 1675/2175: Loss: 0.51 | Accuracy: 0.98
[Training] Itteration/Batch: 1700/2175: Loss: 2.95 | Accuracy: 0.98
[Training] Itteration/Batch: 1725/2175: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 1750/2175: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 1775/2175: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1800/2175: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 1825/2175: Loss: 0.70 | Accuracy: 0.98
[Training] Itteration/Batch: 1850/2175: Loss: 2.06 | Accuracy: 0.95
[Training] Itteration/Batch: 1875/2175: Loss: 0.85 | Accuracy: 0.91
[Training] Itteration/Batch: 1900/2175: Loss: 1.28 | Accuracy: 0.98
[Training] Itteration/Batch: 1925/2175: Loss: 0.37 | Accuracy: 0.94
[Training] Itteration/Batch: 1950/2175: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 1975/2175: Loss: 1.18 | Accuracy: 0.96
[Training] Itteration/Batch: 2000/2175: Loss: 0.72 | Accuracy: 0.94
[Training] Itteration/Batch: 2025/2175: Loss: 0.79 | Accuracy: 0.96
[Training] Itteration/Batch: 2050/2175: Loss: 1.02 | Accuracy: 0.92
[Training] Itteration/Batch: 2075/2175: Loss: 0.67 | Accuracy: 0.94
[Training] Itteration/Batch: 2100/2175: Loss: 0.49 | Accuracy: 0.98
[Training] Itteration/Batch: 2125/2175: Loss: 0.27 | Accuracy: 0.98
[Training] Itteration/Batch: 2150/2175: Loss: 0.63 | Accuracy: 0.93

Epoch 5: Val Bin. F1 Majority 0.41109710931777954 | Val Macro F1 Majority 0.6951193211717811 |             Val Bin F1 Individual 0.3941117525100708 | Val Macro F1 Individual 0.6851173637435293 |             Val Accuracy Majority 0.9597101211547852 | Val Accuracy Individual 0.9540565013885498 | Training Loss:0.7052626609802246 |             Val Loss 1.103560209274292 | Train Runtime Millis 243227.60060199653 | Val Runtime Millis 45254.63081199268

______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 2.40 | Accuracy: 0.53
[Training] Itteration/Batch:  25/2176: Loss: 2.18 | Accuracy: 0.67
[Training] Itteration/Batch:  50/2176: Loss: 2.15 | Accuracy: 0.65
[Training] Itteration/Batch:  75/2176: Loss: 2.11 | Accuracy: 0.61
[Training] Itteration/Batch: 100/2176: Loss: 4.38 | Accuracy: 0.73
[Training] Itteration/Batch: 125/2176: Loss: 1.66 | Accuracy: 0.82
[Training] Itteration/Batch: 150/2176: Loss: 1.99 | Accuracy: 0.74
[Training] Itteration/Batch: 175/2176: Loss: 1.56 | Accuracy: 0.84
[Training] Itteration/Batch: 200/2176: Loss: 1.43 | Accuracy: 0.79
[Training] Itteration/Batch: 225/2176: Loss: 1.56 | Accuracy: 0.84
[Training] Itteration/Batch: 250/2176: Loss: 1.50 | Accuracy: 0.84
[Training] Itteration/Batch: 275/2176: Loss: 1.53 | Accuracy: 0.91
[Training] Itteration/Batch: 300/2176: Loss: 3.77 | Accuracy: 0.83
[Training] Itteration/Batch: 325/2176: Loss: 2.90 | Accuracy: 0.85
[Training] Itteration/Batch: 350/2176: Loss: 1.64 | Accuracy: 0.90
[Training] Itteration/Batch: 375/2176: Loss: 1.60 | Accuracy: 0.91
[Training] Itteration/Batch: 400/2176: Loss: 1.46 | Accuracy: 0.95
[Training] Itteration/Batch: 425/2176: Loss: 3.77 | Accuracy: 0.92
[Training] Itteration/Batch: 450/2176: Loss: 1.19 | Accuracy: 0.98
[Training] Itteration/Batch: 475/2176: Loss: 2.35 | Accuracy: 0.91
[Training] Itteration/Batch: 500/2176: Loss: 2.28 | Accuracy: 0.92
[Training] Itteration/Batch: 525/2176: Loss: 3.39 | Accuracy: 0.95
[Training] Itteration/Batch: 550/2176: Loss: 2.06 | Accuracy: 0.91
[Training] Itteration/Batch: 575/2176: Loss: 1.20 | Accuracy: 0.95
[Training] Itteration/Batch: 600/2176: Loss: 1.37 | Accuracy: 0.95
[Training] Itteration/Batch: 625/2176: Loss: 1.28 | Accuracy: 1.00
[Training] Itteration/Batch: 650/2176: Loss: 2.06 | Accuracy: 0.95
[Training] Itteration/Batch: 675/2176: Loss: 1.21 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2176: Loss: 4.03 | Accuracy: 0.96
[Training] Itteration/Batch: 725/2176: Loss: 1.49 | Accuracy: 0.97
[Training] Itteration/Batch: 750/2176: Loss: 3.26 | Accuracy: 0.90
[Training] Itteration/Batch: 775/2176: Loss: 1.83 | Accuracy: 0.95
[Training] Itteration/Batch: 800/2176: Loss: 1.58 | Accuracy: 0.98
[Training] Itteration/Batch: 825/2176: Loss: 2.59 | Accuracy: 0.91
[Training] Itteration/Batch: 850/2176: Loss: 1.65 | Accuracy: 0.97
[Training] Itteration/Batch: 875/2176: Loss: 1.07 | Accuracy: 0.96
[Training] Itteration/Batch: 900/2176: Loss: 1.11 | Accuracy: 1.00
[Training] Itteration/Batch: 925/2176: Loss: 2.28 | Accuracy: 0.96
[Training] Itteration/Batch: 950/2176: Loss: 1.78 | Accuracy: 0.98
[Training] Itteration/Batch: 975/2176: Loss: 2.33 | Accuracy: 0.95
[Training] Itteration/Batch: 1000/2176: Loss: 1.19 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/2176: Loss: 2.08 | Accuracy: 0.96
[Training] Itteration/Batch: 1050/2176: Loss: 1.54 | Accuracy: 0.97
[Training] Itteration/Batch: 1075/2176: Loss: 5.22 | Accuracy: 0.90
[Training] Itteration/Batch: 1100/2176: Loss: 1.13 | Accuracy: 0.98
[Training] Itteration/Batch: 1125/2176: Loss: 0.97 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/2176: Loss: 1.31 | Accuracy: 0.98
[Training] Itteration/Batch: 1175/2176: Loss: 1.37 | Accuracy: 0.98
[Training] Itteration/Batch: 1200/2176: Loss: 1.45 | Accuracy: 0.98
[Training] Itteration/Batch: 1225/2176: Loss: 3.41 | Accuracy: 0.91
[Training] Itteration/Batch: 1250/2176: Loss: 1.35 | Accuracy: 0.98
[Training] Itteration/Batch: 1275/2176: Loss: 0.95 | Accuracy: 1.00
[Training] Itteration/Batch: 1300/2176: Loss: 0.91 | Accuracy: 1.00
[Training] Itteration/Batch: 1325/2176: Loss: 4.35 | Accuracy: 0.90
[Training] Itteration/Batch: 1350/2176: Loss: 0.83 | Accuracy: 1.00
[Training] Itteration/Batch: 1375/2176: Loss: 1.28 | Accuracy: 0.97
[Training] Itteration/Batch: 1400/2176: Loss: 3.34 | Accuracy: 0.96
[Training] Itteration/Batch: 1425/2176: Loss: 2.10 | Accuracy: 0.94
[Training] Itteration/Batch: 1450/2176: Loss: 3.54 | Accuracy: 0.98
[Training] Itteration/Batch: 1475/2176: Loss: 2.05 | Accuracy: 0.95
[Training] Itteration/Batch: 1500/2176: Loss: 1.84 | Accuracy: 0.95
[Training] Itteration/Batch: 1525/2176: Loss: 1.28 | Accuracy: 0.98
[Training] Itteration/Batch: 1550/2176: Loss: 0.80 | Accuracy: 1.00
[Training] Itteration/Batch: 1575/2176: Loss: 1.52 | Accuracy: 0.88
[Training] Itteration/Batch: 1600/2176: Loss: 4.40 | Accuracy: 0.92
[Training] Itteration/Batch: 1625/2176: Loss: 2.41 | Accuracy: 0.93
[Training] Itteration/Batch: 1650/2176: Loss: 1.10 | Accuracy: 0.98
[Training] Itteration/Batch: 1675/2176: Loss: 2.35 | Accuracy: 0.81
[Training] Itteration/Batch: 1700/2176: Loss: 1.89 | Accuracy: 0.87
[Training] Itteration/Batch: 1725/2176: Loss: 0.77 | Accuracy: 1.00
[Training] Itteration/Batch: 1750/2176: Loss: 2.98 | Accuracy: 0.95
[Training] Itteration/Batch: 1775/2176: Loss: 0.89 | Accuracy: 0.95
[Training] Itteration/Batch: 1800/2176: Loss: 1.53 | Accuracy: 0.98
[Training] Itteration/Batch: 1825/2176: Loss: 0.95 | Accuracy: 0.96
[Training] Itteration/Batch: 1850/2176: Loss: 2.15 | Accuracy: 0.87
[Training] Itteration/Batch: 1875/2176: Loss: 1.84 | Accuracy: 0.92
[Training] Itteration/Batch: 1900/2176: Loss: 1.22 | Accuracy: 0.90
[Training] Itteration/Batch: 1925/2176: Loss: 0.75 | Accuracy: 0.96
[Training] Itteration/Batch: 1950/2176: Loss: 0.78 | Accuracy: 1.00
[Training] Itteration/Batch: 1975/2176: Loss: 1.23 | Accuracy: 0.93
[Training] Itteration/Batch: 2000/2176: Loss: 0.86 | Accuracy: 0.93
[Training] Itteration/Batch: 2025/2176: Loss: 1.03 | Accuracy: 0.98
[Training] Itteration/Batch: 2050/2176: Loss: 1.18 | Accuracy: 0.98
[Training] Itteration/Batch: 2075/2176: Loss: 1.17 | Accuracy: 0.92
[Training] Itteration/Batch: 2100/2176: Loss: 0.63 | Accuracy: 1.00
[Training] Itteration/Batch: 2125/2176: Loss: 0.91 | Accuracy: 0.98
[Training] Itteration/Batch: 2150/2176: Loss: 1.12 | Accuracy: 0.95
[Training] Itteration/Batch: 2175/2176: Loss: 1.37 | Accuracy: 0.74

Epoch 1: Val Bin. F1 Majority 0.3677419424057007 | Val Macro F1 Majority 0.6706717219845502 |             Val Bin F1 Individual 0.3463832139968872 | Val Macro F1 Individual 0.6575799525703131 |             Val Accuracy Majority 0.949319064617157 | Val Accuracy Individual 0.9404004812240601 | Training Loss:1.8722567558288574 |             Val Loss 1.3528088331222534 | Train Runtime Millis 287785.318092996 | Val Runtime Millis 57030.7902689965

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 1.49 | Accuracy: 0.93
[Training] Itteration/Batch:  25/2176: Loss: 0.99 | Accuracy: 0.98
[Training] Itteration/Batch:  50/2176: Loss: 1.53 | Accuracy: 0.90
[Training] Itteration/Batch:  75/2176: Loss: 1.25 | Accuracy: 0.95
[Training] Itteration/Batch: 100/2176: Loss: 1.47 | Accuracy: 0.89
[Training] Itteration/Batch: 125/2176: Loss: 2.70 | Accuracy: 0.97
[Training] Itteration/Batch: 150/2176: Loss: 1.47 | Accuracy: 0.95
[Training] Itteration/Batch: 175/2176: Loss: 1.43 | Accuracy: 0.91
[Training] Itteration/Batch: 200/2176: Loss: 0.57 | Accuracy: 1.00
[Training] Itteration/Batch: 225/2176: Loss: 1.67 | Accuracy: 0.79
[Training] Itteration/Batch: 250/2176: Loss: 0.64 | Accuracy: 1.00
[Training] Itteration/Batch: 275/2176: Loss: 0.63 | Accuracy: 1.00
[Training] Itteration/Batch: 300/2176: Loss: 1.78 | Accuracy: 0.94
[Training] Itteration/Batch: 325/2176: Loss: 2.14 | Accuracy: 0.98
[Training] Itteration/Batch: 350/2176: Loss: 0.64 | Accuracy: 1.00
